时间,昵称,内容,类型
8/31/2026 16:04,chaesoo,那既然银行说撤不回了,文本
8/31/2026 16:04,chaesoo,你的疑虑不就是打消了吗,文本
8/31/2026 16:04,Yutong,受害者在哪？,文本
8/31/2026 16:04,Yutong,我来了,文本
8/31/2026 16:04,chaesoo,那为什么还是不还钱呢,文本
8/31/2026 16:05,chaesoo,自己扇自己脸吗,文本
8/31/2026 16:05,NH2S,"哥 你收了我钱 你受害者？
引用：Yutong: 受害者在哪？",引用消息
8/31/2026 16:05,NH2S,你恶心不恶心啊,文本
8/31/2026 16:06,Yutong,我可是给了全部账单的，你要不要我公布一下[旺柴],文本
8/31/2026 16:06,NH2S,你公布啊,文本
8/31/2026 16:06,chaesoo,你之前的态度,文本
8/31/2026 16:06,群消息,"-1
""<a href=""weixin://link_profile?username=abcd1091833126"">Chris_男卡</a>""邀请""<a href=""weixin://link_profile?username=wxid_9477064770711"">Jenny</a>""加入了群聊",未知类型
8/31/2026 16:06,NH2S,我7.4就决定远离sb了,文本
8/31/2026 16:06,chaesoo,我要不要拿出来给大家看看,文本
8/31/2026 16:06,Yutong,你最好退给她，不然我真的去csc那边找纪委了,文本
8/31/2026 16:07,NH2S,你为什么7.4后的账单也要我a,文本
8/31/2026 16:07,chaesoo,"【合并转发的聊天记录】

",合并转发的聊天记录
8/31/2026 16:07,Yutong,花了3年拿了一个一年制的硕士文凭,文本
8/31/2026 16:07,Yutong,骗国家的钱,文本
8/31/2026 16:08,Yutong,这个后果，你自己掂量一下,文本
8/31/2026 16:08,chaesoo,宝子你是同一个人吗,文本
8/31/2026 16:08,Yutong,不是,文本
8/31/2026 16:08,Yutong,我是徒步群群主,文本
8/31/2026 16:09,NH2S,"这人zyt
引用：Yutong: 不是",引用消息
8/31/2026 16:09,NH2S,要不你发下账单,文本
8/31/2026 16:09,Yutong,不然，别怪我无情[旺柴],文本
8/31/2026 16:10,NH2S,我们在聊你诈骗我一万多的事儿呢,文本
8/31/2026 16:10,NH2S,哥哥,文本
8/31/2026 16:10,NH2S,我知道这是你让我a钱,文本
8/31/2026 16:10,NH2S,但是和我无关的费用你也要我啊,文本
8/31/2026 16:10,NH2S,要我啊,文本
8/31/2026 16:10,NH2S,要我a,文本
8/31/2026 16:10,NH2S,搞威胁勒索？,文本
8/31/2026 16:11,NH2S,本来想着给你钱了你能消停,文本
8/31/2026 16:11,NH2S,你要不要脸呢？,文本
8/31/2026 16:11,,你撤回了一条消息,系统消息
8/31/2026 16:12,Yutong,我邮件都写好了[旺柴],文本
8/31/2026 16:12,Yutong,你最好可以冷静一下，我还没发送[旺柴],文本
8/31/2026 16:12,NH2S,sorry哦,文本
8/31/2026 16:12,NH2S,你继续敲诈勒索,文本
8/31/2026 16:13,NH2S,我不会给你一毛哦,文本
8/31/2026 16:13,NH2S,谢谢你,文本
8/31/2026 16:13,Yutong,【图片】,图片
8/31/2026 16:13,Yutong,那我可就没有第二个选项了,文本
8/31/2026 16:13,NH2S,反正不会给你一毛,文本
8/31/2026 16:14,Yutong,你会还给国家的[旺柴],文本
8/31/2026 16:14,Yutong,我相信群众的力量,文本
8/31/2026 16:14,Jessica,【表情包】 ,表情包
8/31/2026 16:14,Yutong,30%违约金,文本
8/31/2026 16:15,Yutong,我会发动群众力量的，你等着吧,文本
8/31/2026 16:15,群消息,"-1
""<a href=""weixin://link_profile?username=wxid_9477064770711"">Jenny </a>""邀请""<a href=""weixin://link_profile?username=wxid_73zt1q6uwemi12"">A New Hope</a>""加入了群聊",未知类型
